day,section,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6
saturday,CSE-46,X,X,X,X,X,X,X,X,X,X
monday,CSE-47,X,X,X,DSS,DBMS(L),DBMS(L),X,COA,DBMS,X
tuesday,CSE-47,X,X,X,DSS,COA,STW,X,X,VT(L),VT(L)
wednesday,CSE-47,X,X,X,OOPJ,OS,DBMS,X,COA,OS(L),OS(L)
thursday,CSE-47,X,X,X,STW,DBMS,OS,X,OOPJ,DSS,COA
friday,CSE-47,X,OOPJ,DSS,X,X,X,OOPJ(L),OOPJ(L),OS,STW
saturday,CSE-47,X,X,X,X,X,X,X,X,X,X
monday,CSE-48,X,X,X,X,X,X,X,X,X,X
tuesday,CSE-48,STW,OS(L),OS(L),COA,DBMS,DSS,X,X,X,X
wednesday,CSE-48,DSS,OOPJ(L),OOPJ(L),OOPJ,COA,STW,X,X,X,X
thursday,CSE-48,OS,COA,DSS,X,VT(L),VT(L),X,X,X,X
friday,CSE-48,DSS,OS,STW,DBMS,COA,OOPJ,X,X,X,X
saturday,CSE-48,X,X,OOPJ,X,X,X,DBMS(L),DBMS(L),OS,DBMS
monday,CSE-49,STW,DSS,X,X,X,X,DBMS(L),DBMS(L),COA,OOPJ
tuesday,CSE-49,X,X,X,STW,DSS,COA,X,OOPJ,DBMS,OS
wednesday,CSE-49,X,X,X,COA,OS(L),OS(L),X,X,VT(L),VT(L)
thursday,CSE-49,X,X,X,OS,DSS,DBMS,X,OOPJ,OOPJ(L),OOPJ(L)
friday,CSE-49,X,X,X,OS,DBMS,COA,X,DSS,STW,X
saturday,CSE-49,X,X,X,X,X,X,X,X,X,X
monday,CSE-50,COA,OS,DSS,OOPJ,STW,X,X,X,X,X
tuesday,CSE-50,COA,DSS,STW,X,X,X,OOPJ(L),OOPJ(L),OOPJ,DBMS
wednesday,CSE-50,X,X,X,X,X,X,X,X,X,X
thursday,CSE-50,DSS,OS,OOPJ,COA,DBMS(L),DBMS(L),X,X,X,X
friday,CSE-50,STW,DBMS,DSS,X,VT(L),VT(L),X,X,X,X
saturday,CSE-50,X,OS,DBMS,COA,OS(L),OS(L),X,X,X,X
monday,CSE-51,X,X,X,DSS,OS,DBMS,X,X,VT(L),VT(L)
tuesday,CSE-51,X,X,X,OS,OOPJ(L),OOPJ(L),X,COA,DBMS,DSS
wednesday,CSE-51,COA,DBMS(L),DBMS(L),X,X,X,OS,STW,OOPJ,X
thursday,CSE-51,X,X,X,OOPJ,COA,X,X,DSS,STW,DBMS
friday,CSE-51,X,X,X,OOPJ,OS(L),OS(L),X,STW,DSS,COA
saturday,CSE-51,X,X,X,X,X,X,X,X,X,X
monday,CSE-52,OS,DBMS(L),DBMS(L),STW,DBMS,COA,X,X,X,X
tuesday,CSE-52,OOPJ,STW,OS,DSS,OOPJ(L),OOPJ(L),X,X,X,X
wednesday,CSE-52,COA,DSS,STW,X,VT(L),VT(L),X,X,X,X
thursday,CSE-52,OOPJ,COA,DSS,X,X,X,OS(L),OS(L),DBMS,X
friday,CSE-52,X,DSS,OOPJ,OS,COA,DBMS,X,X,X,X
saturday,CSE-52,X,X,X,X,X,X,X,X,X,X
monday,CSE-53,X,X,X,OS,DBMS(L),DBMS(L),X,DSS,COA,OOPJ
tuesday,CSE-53,X,X,X,OS,COA,DBMS,X,X,VT(L),VT(L)
wednesday,CSE-53,X,X,X,DBMS,COA,STW,X,DSS,OOPJ(L),OOPJ(L)
thursday,CSE-53,X,X,X,STW,DBMS,X,X,DSS,OOPJ,OS
friday,CSE-53,COA,STW,OOPJ,X,X,X,OS(L),OS(L),DSS,X
saturday,CSE-53,X,X,X,X,X,X,X,X,X,X
monday,CSE-54,OOPJ,DSS,DBMS,X,X,X,COA,STW,X,X
tuesday,CSE-54,COA,OS(L),OS(L),OS,DBMS,DSS,X,X,X,X
wednesday,CSE-54,DBMS,STW,COA,OS,OOPJ(L),OOPJ(L),X,X,X,X
thursday,CSE-54,COA,OOPJ,OS,DSS,DBMS(L),DBMS(L),X,X,X,X
friday,CSE-54,OOPJ,STW,DSS,X,VT(L),VT(L),X,X,X,X
saturday,CSE-54,X,X,X,X,X,X,X,X,X,X
monday,CSE-55,DSS,DBMS,OS,X,X,X,OS(L),OS(L),COA,X
